filename,modulation,phase_noise,iq_imbalance,interference,snr_range
img_00000.png,4-ASK,None,None,None,Low
img_00001.png,4-ASK,None,None,Low,Low
img_00002.png,4-ASK,None,None,Medium,Low
img_00003.png,4-ASK,None,None,High,Low
img_00004.png,4-ASK,None,Low,None,Low
img_00005.png,4-ASK,None,Low,Low,Low
img_00006.png,4-ASK,None,Low,Medium,Low
img_00007.png,4-ASK,None,Low,High,Low
img_00008.png,4-ASK,None,Medium,None,Low
img_00009.png,4-ASK,None,Medium,Low,Low
img_00010.png,4-ASK,None,Medium,Medium,Low
img_00011.png,4-ASK,None,Medium,High,Low
img_00012.png,4-ASK,None,High,None,Low
img_00013.png,4-ASK,None,High,Low,Low
img_00014.png,4-ASK,None,High,Medium,Low
img_00015.png,4-ASK,None,High,High,Low
img_00016.png,4-ASK,Low,None,None,Low
img_00017.png,4-ASK,Low,None,Low,Low
img_00018.png,4-ASK,Low,None,Medium,Low
img_00019.png,4-ASK,Low,None,High,Low
img_00020.png,4-ASK,Low,Low,None,Low
img_00021.png,4-ASK,Low,Low,Low,Low
img_00022.png,4-ASK,Low,Low,Medium,Low
img_00023.png,4-ASK,Low,Low,High,Low
img_00024.png,4-ASK,Low,Medium,None,Low
img_00025.png,4-ASK,Low,Medium,Low,Low
img_00026.png,4-ASK,Low,Medium,Medium,Low
img_00027.png,4-ASK,Low,Medium,High,Low
img_00028.png,4-ASK,Low,High,None,Low
img_00029.png,4-ASK,Low,High,Low,Low
img_00030.png,4-ASK,Low,High,Medium,Low
img_00031.png,4-ASK,Low,High,High,Low
img_00032.png,4-ASK,Medium,None,None,Low
img_00033.png,4-ASK,Medium,None,Low,Low
img_00034.png,4-ASK,Medium,None,Medium,Low
img_00035.png,4-ASK,Medium,None,High,Low
img_00036.png,4-ASK,Medium,Low,None,Low
img_00037.png,4-ASK,Medium,Low,Low,Low
img_00038.png,4-ASK,Medium,Low,Medium,Low
img_00039.png,4-ASK,Medium,Low,High,Low
img_00040.png,4-ASK,Medium,Medium,None,Low
img_00041.png,4-ASK,Medium,Medium,Low,Low
img_00042.png,4-ASK,Medium,Medium,Medium,Low
img_00043.png,4-ASK,Medium,Medium,High,Low
img_00044.png,4-ASK,Medium,High,None,Low
img_00045.png,4-ASK,Medium,High,Low,Low
img_00046.png,4-ASK,Medium,High,Medium,Low
img_00047.png,4-ASK,Medium,High,High,Low
img_00048.png,4-ASK,High,None,None,Low
img_00049.png,4-ASK,High,None,Low,Low
img_00050.png,4-ASK,High,None,Medium,Low
img_00051.png,4-ASK,High,None,High,Low
img_00052.png,4-ASK,High,Low,None,Low
img_00053.png,4-ASK,High,Low,Low,Low
img_00054.png,4-ASK,High,Low,Medium,Low
img_00055.png,4-ASK,High,Low,High,Low
img_00056.png,4-ASK,High,Medium,None,Low
img_00057.png,4-ASK,High,Medium,Low,Low
img_00058.png,4-ASK,High,Medium,Medium,Low
img_00059.png,4-ASK,High,Medium,High,Low
img_00060.png,4-ASK,High,High,None,Low
img_00061.png,4-ASK,High,High,Low,Low
img_00062.png,4-ASK,High,High,Medium,Low
img_00063.png,4-ASK,High,High,High,Low
img_00064.png,4-ASK,None,None,None,Medium
img_00065.png,4-ASK,None,None,Low,Medium
img_00066.png,4-ASK,None,None,Medium,Medium
img_00067.png,4-ASK,None,None,High,Medium
img_00068.png,4-ASK,None,Low,None,Medium
img_00069.png,4-ASK,None,Low,Low,Medium
img_00070.png,4-ASK,None,Low,Medium,Medium
img_00071.png,4-ASK,None,Low,High,Medium
img_00072.png,4-ASK,None,Medium,None,Medium
img_00073.png,4-ASK,None,Medium,Low,Medium
img_00074.png,4-ASK,None,Medium,Medium,Medium
img_00075.png,4-ASK,None,Medium,High,Medium
img_00076.png,4-ASK,None,High,None,Medium
img_00077.png,4-ASK,None,High,Low,Medium
img_00078.png,4-ASK,None,High,Medium,Medium
img_00079.png,4-ASK,None,High,High,Medium
img_00080.png,4-ASK,Low,None,None,Medium
img_00081.png,4-ASK,Low,None,Low,Medium
img_00082.png,4-ASK,Low,None,Medium,Medium
img_00083.png,4-ASK,Low,None,High,Medium
img_00084.png,4-ASK,Low,Low,None,Medium
img_00085.png,4-ASK,Low,Low,Low,Medium
img_00086.png,4-ASK,Low,Low,Medium,Medium
img_00087.png,4-ASK,Low,Low,High,Medium
img_00088.png,4-ASK,Low,Medium,None,Medium
img_00089.png,4-ASK,Low,Medium,Low,Medium
img_00090.png,4-ASK,Low,Medium,Medium,Medium
img_00091.png,4-ASK,Low,Medium,High,Medium
img_00092.png,4-ASK,Low,High,None,Medium
img_00093.png,4-ASK,Low,High,Low,Medium
img_00094.png,4-ASK,Low,High,Medium,Medium
img_00095.png,4-ASK,Low,High,High,Medium
img_00096.png,4-ASK,Medium,None,None,Medium
img_00097.png,4-ASK,Medium,None,Low,Medium
img_00098.png,4-ASK,Medium,None,Medium,Medium
img_00099.png,4-ASK,Medium,None,High,Medium
img_00100.png,4-ASK,Medium,Low,None,Medium
img_00101.png,4-ASK,Medium,Low,Low,Medium
img_00102.png,4-ASK,Medium,Low,Medium,Medium
img_00103.png,4-ASK,Medium,Low,High,Medium
img_00104.png,4-ASK,Medium,Medium,None,Medium
img_00105.png,4-ASK,Medium,Medium,Low,Medium
img_00106.png,4-ASK,Medium,Medium,Medium,Medium
img_00107.png,4-ASK,Medium,Medium,High,Medium
img_00108.png,4-ASK,Medium,High,None,Medium
img_00109.png,4-ASK,Medium,High,Low,Medium
img_00110.png,4-ASK,Medium,High,Medium,Medium
img_00111.png,4-ASK,Medium,High,High,Medium
img_00112.png,4-ASK,High,None,None,Medium
img_00113.png,4-ASK,High,None,Low,Medium
img_00114.png,4-ASK,High,None,Medium,Medium
img_00115.png,4-ASK,High,None,High,Medium
img_00116.png,4-ASK,High,Low,None,Medium
img_00117.png,4-ASK,High,Low,Low,Medium
img_00118.png,4-ASK,High,Low,Medium,Medium
img_00119.png,4-ASK,High,Low,High,Medium
img_00120.png,4-ASK,High,Medium,None,Medium
img_00121.png,4-ASK,High,Medium,Low,Medium
img_00122.png,4-ASK,High,Medium,Medium,Medium
img_00123.png,4-ASK,High,Medium,High,Medium
img_00124.png,4-ASK,High,High,None,Medium
img_00125.png,4-ASK,High,High,Low,Medium
img_00126.png,4-ASK,High,High,Medium,Medium
img_00127.png,4-ASK,High,High,High,Medium
img_00128.png,4-ASK,None,None,None,High
img_00129.png,4-ASK,None,None,Low,High
img_00130.png,4-ASK,None,None,Medium,High
img_00131.png,4-ASK,None,None,High,High
img_00132.png,4-ASK,None,Low,None,High
img_00133.png,4-ASK,None,Low,Low,High
img_00134.png,4-ASK,None,Low,Medium,High
img_00135.png,4-ASK,None,Low,High,High
img_00136.png,4-ASK,None,Medium,None,High
img_00137.png,4-ASK,None,Medium,Low,High
img_00138.png,4-ASK,None,Medium,Medium,High
img_00139.png,4-ASK,None,Medium,High,High
img_00140.png,4-ASK,None,High,None,High
img_00141.png,4-ASK,None,High,Low,High
img_00142.png,4-ASK,None,High,Medium,High
img_00143.png,4-ASK,None,High,High,High
img_00144.png,4-ASK,Low,None,None,High
img_00145.png,4-ASK,Low,None,Low,High
img_00146.png,4-ASK,Low,None,Medium,High
img_00147.png,4-ASK,Low,None,High,High
img_00148.png,4-ASK,Low,Low,None,High
img_00149.png,4-ASK,Low,Low,Low,High
img_00150.png,4-ASK,Low,Low,Medium,High
img_00151.png,4-ASK,Low,Low,High,High
img_00152.png,4-ASK,Low,Medium,None,High
img_00153.png,4-ASK,Low,Medium,Low,High
img_00154.png,4-ASK,Low,Medium,Medium,High
img_00155.png,4-ASK,Low,Medium,High,High
img_00156.png,4-ASK,Low,High,None,High
img_00157.png,4-ASK,Low,High,Low,High
img_00158.png,4-ASK,Low,High,Medium,High
img_00159.png,4-ASK,Low,High,High,High
img_00160.png,4-ASK,Medium,None,None,High
img_00161.png,4-ASK,Medium,None,Low,High
img_00162.png,4-ASK,Medium,None,Medium,High
img_00163.png,4-ASK,Medium,None,High,High
img_00164.png,4-ASK,Medium,Low,None,High
img_00165.png,4-ASK,Medium,Low,Low,High
img_00166.png,4-ASK,Medium,Low,Medium,High
img_00167.png,4-ASK,Medium,Low,High,High
img_00168.png,4-ASK,Medium,Medium,None,High
img_00169.png,4-ASK,Medium,Medium,Low,High
img_00170.png,4-ASK,Medium,Medium,Medium,High
img_00171.png,4-ASK,Medium,Medium,High,High
img_00172.png,4-ASK,Medium,High,None,High
img_00173.png,4-ASK,Medium,High,Low,High
img_00174.png,4-ASK,Medium,High,Medium,High
img_00175.png,4-ASK,Medium,High,High,High
img_00176.png,4-ASK,High,None,None,High
img_00177.png,4-ASK,High,None,Low,High
img_00178.png,4-ASK,High,None,Medium,High
img_00179.png,4-ASK,High,None,High,High
img_00180.png,4-ASK,High,Low,None,High
img_00181.png,4-ASK,High,Low,Low,High
