Modulation,SNR_dB,PhaseNoise_Level,SymbolErrorProbability
16-QAM,0,None,8.101200e-01
16-QAM,2,None,7.684200e-01
16-QAM,4,None,7.104500e-01
16-QAM,6,None,6.353600e-01
16-QAM,8,None,5.378300e-01
16-QAM,10,None,4.186000e-01
16-QAM,12,None,2.873300e-01
16-QAM,14,None,1.615800e-01
16-QAM,16,None,6.752000e-02
16-QAM,18,None,1.832000e-02
16-QAM,20,None,2.290000e-03
16-QAM,22,None,5.000000e-05
16-QAM,24,None,0.000000e+00
16-QAM,26,None,0.000000e+00
16-QAM,28,None,0.000000e+00
16-QAM,30,None,0.000000e+00
64-QAM,0,None,9.457000e-01
64-QAM,2,None,9.330500e-01
64-QAM,4,None,9.119600e-01
64-QAM,6,None,8.858400e-01
64-QAM,8,None,8.490700e-01
64-QAM,10,None,7.942600e-01
64-QAM,12,None,7.188800e-01
64-QAM,14,None,6.211900e-01
64-QAM,16,None,4.942800e-01
64-QAM,18,None,3.494300e-01
64-QAM,20,None,2.027900e-01
64-QAM,22,None,8.891000e-02
64-QAM,24,None,2.502000e-02
64-QAM,26,None,3.620000e-03
64-QAM,28,None,1.600000e-04
64-QAM,30,None,0.000000e+00
256-QAM,0,None,9.859689e-01
256-QAM,2,None,9.820200e-01
256-QAM,4,None,9.769100e-01
256-QAM,6,None,9.674300e-01
256-QAM,8,None,9.572600e-01
256-QAM,10,None,9.409300e-01
256-QAM,12,None,9.159800e-01
256-QAM,14,None,8.826500e-01
256-QAM,16,None,8.312300e-01
256-QAM,18,None,7.603700e-01
256-QAM,20,None,6.586500e-01
256-QAM,22,None,5.284500e-01
256-QAM,24,None,3.768500e-01
256-QAM,26,None,2.225300e-01
256-QAM,28,None,9.951000e-02
256-QAM,30,None,2.856000e-02
16-QAM,0,High,8.184600e-01
16-QAM,2,High,7.808800e-01
16-QAM,4,High,7.333800e-01
16-QAM,6,High,6.701000e-01
16-QAM,8,High,5.943300e-01
16-QAM,10,High,5.046600e-01
16-QAM,12,High,4.107000e-01
16-QAM,14,High,3.193100e-01
16-QAM,16,High,2.473200e-01
16-QAM,18,High,1.989000e-01
16-QAM,20,High,1.698700e-01
16-QAM,22,High,1.549700e-01
16-QAM,24,High,1.448700e-01
16-QAM,26,High,1.414600e-01
16-QAM,28,High,1.385700e-01
16-QAM,30,High,1.347100e-01
64-QAM,0,High,9.485700e-01
64-QAM,2,High,9.364800e-01
64-QAM,4,High,9.217800e-01
64-QAM,6,High,9.001500e-01
64-QAM,8,High,8.732500e-01
64-QAM,10,High,8.378500e-01
64-QAM,12,High,7.911400e-01
64-QAM,14,High,7.340200e-01
64-QAM,16,High,6.721900e-01
64-QAM,18,High,6.082100e-01
64-QAM,20,High,5.429700e-01
64-QAM,22,High,4.925000e-01
64-QAM,24,High,4.579400e-01
64-QAM,26,High,4.336800e-01
64-QAM,28,High,4.221800e-01
64-QAM,30,High,4.118300e-01
256-QAM,0,High,9.863105e-01
256-QAM,2,High,9.831600e-01
256-QAM,4,High,9.786100e-01
256-QAM,6,High,9.733600e-01
256-QAM,8,High,9.654000e-01
256-QAM,10,High,9.549100e-01
256-QAM,12,High,9.409500e-01
256-QAM,14,High,9.231200e-01
256-QAM,16,High,8.979700e-01
256-QAM,18,High,8.735300e-01
256-QAM,20,High,8.386600e-01
256-QAM,22,High,8.032400e-01
256-QAM,24,High,7.651600e-01
256-QAM,26,High,7.304200e-01
256-QAM,28,High,7.009000e-01
256-QAM,30,High,6.801000e-01
